Country,Continent,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gabon,Africa,6.49,6.5,6.53,6.49,6.46,6.57,6.62,6.56,6.59,6.59
Gambia,Africa,19.98,20.1,20.32,20.24,20.43,20.71,20.74,20.98,21.05,21.1
Georgia,Asia,17.24,19.48,18.77,18.11,18.22,18.15,16.8,16.34,16.28,14.48
Germany,Europe,14.81,15.14,13.52,13.05,12.25,12.44,11.47,11.58,11.51,10.56
Ghana,Africa,29.96,30.37,30.54,30.34,30.39,31.85,31.77,31.47,31.48,31.19
Greece,Europe,18.19,18.05,16.44,15.96,14.47,15.2,14.01,14.03,14.48,13.51
Grenada,America,6.33,6.25,7.16,7.02,7.16,7.69,7.76,8.0,8.05,7.07
Guatemala,America,20.22,21.7,20.26,21.52,19.96,19.99,20.06,19.2,17.25,16.18
Guinea,Africa,21.58,21.62,22.34,21.2,21.92,22.65,22.66,22.43,22.17,21.99
Guinea-Bissau,Africa,17.55,17.65,17.69,17.46,17.82,17.85,17.95,17.96,18.04,18.06
Guyana,America,5.33,5.37,5.74,5.35,5.75,6.51,6.77,6.65,5.9,5.71
Haiti,America,5.33,5.18,5.55,5.31,5.52,5.83,5.78,5.8,5.76,5.41
Honduras,America,16.28,17.48,15.97,17.53,16.55,16.2,15.97,14.71,14.3,13.48
Hungary,Europe,18.46,19.03,17.12,16.63,16.87,16.21,15.32,15.71,16.36,13.4
Iceland,Europe,6.09,6.58,5.86,5.63,5.33,5.67,5.03,5.08,5.2,5.11
India,Asia,49.73,52.34,53.57,55.61,53.24,52.72,50.57,48.78,53.03,47.87
Indonesia,Asia,16.5,15.79,17.12,17.74,16.06,16.09,17.4,15.35,15.58,16.76
Iran (Islamic Republic of),Asia,26.16,25.96,25.97,25.9,25.43,26.17,25.85,26.52,27.93,27.47
Iraq,Asia,31.91,31.34,31.32,31.27,29.84,31.71,31.29,31.55,32.45,31.91
Ireland,Europe,9.25,9.91,8.82,8.72,8.19,8.58,7.55,7.6,7.76,7.66
Israel,Asia,22.72,22.18,20.69,20.68,19.21,20.25,18.6,18.25,18.84,18.17
Italy,Europe,19.77,20.32,18.22,17.66,16.42,17.0,15.59,15.5,15.75,13.99
Jamaica,America,11.68,11.55,12.88,12.34,13.1,13.53,13.1,13.6,13.48,12.5
Japan,Asia,13.23,12.87,11.63,12.54,12.45,11.88,11.63,10.91,10.13,10.02
Jordan,Asia,21.79,21.85,22.03,21.98,21.74,22.27,22.02,22.26,22.57,22.58
Kazakhstan,Asia,21.77,24.3,24.03,23.16,22.27,22.3,21.93,20.8,20.99,19.01
Kenya,Africa,7.75,7.77,7.79,7.77,7.78,7.79,7.81,7.8,7.84,7.8
Kiribati,Oceania,3.15,3.21,3.26,3.31,3.05,2.95,2.89,2.74,3.09,3.14
Kuwait,Asia,57.64,56.58,56.96,56.85,53.99,57.39,55.89,56.91,57.26,55.65
Kyrgyzstan,Asia,29.28,34.29,34.06,30.87,29.13,30.45,29.44,28.16,27.63,26.16
Lao People's Democratic Republic,Asia,17.56,15.66,16.81,17.9,15.76,16.16,18.36,15.54,15.66,16.86
Latvia,Europe,14.6,13.63,12.92,13.59,13.71,12.05,10.92,10.34,11.26,10.69
Lebanon,Asia,17.9,17.49,17.82,17.81,17.8,18.14,17.97,17.69,17.97,18.05
Lesotho,Africa,12.32,12.11,12.05,12.13,12.2,12.11,12.05,12.17,12.19,12.13
Liberia,Africa,17.11,17.31,18.01,17.26,17.78,18.81,18.12,18.18,18.09,18.19
Libya,Africa,15.2,14.44,14.47,15.12,14.79,14.58,14.86,14.36,14.96,14.82
Lithuania,Europe,12.74,11.87,11.21,11.58,11.88,10.6,9.24,8.93,10.11,9.29
Luxembourg,Europe,11.65,11.91,10.67,10.39,9.68,9.88,9.19,9.27,9.17,8.4
Madagascar,Africa,10.96,10.97,10.96,11.03,10.99,11.05,11.08,11.09,11.11,11.16
Malawi,Africa,6.24,6.25,6.26,6.24,6.23,6.25,6.21,6.19,6.21,6.2
Malaysia,Asia,18.77,18.49,19.92,20.91,19.41,19.59,21.03,18.69,18.51,20.55
Maldives,Asia,10.35,10.02,10.37,10.88,9.63,9.75,10.78,10.23,10.25,10.33
Mali,Africa,14.86,14.78,15.05,14.4,14.76,15.26,15.1,15.17,15.05,14.8
Malta,Europe,15.74,15.14,13.24,13.16,12.78,12.71,12.16,11.55,12.66,11.84
Marshall Islands,Oceania,2.93,2.97,3.01,3.09,2.67,2.85,2.69,2.62,2.7,2.62
Mauritania,Africa,16.39,17.18,17.5,17.09,17.22,18.1,17.8,18.14,17.93,17.86
Mauritius,Africa,8.42,8.35,8.41,8.46,8.47,8.58,8.56,8.1,8.22,8.25
Mexico,America,20.4,21.43,20.15,21.39,19.96,20.37,19.76,18.5,17.55,16.33
Micronesia (Federated States of),Oceania,3.1,3.5,3.54,3.63,3.84,3.84,3.81,3.33,3.33,3.27
Monaco,Europe,10.57,11.0,9.95,9.62,8.91,9.33,8.5,8.61,8.82,8.24
Mongolia,Asia,33.16,38.5,37.72,35.9,33.75,33.39,34.6,32.91,33.32,30.68
Montenegro,Europe,23.25,24.31,23.54,20.91,20.87,20.12,19.22,20.09,20.79,17.34
Morocco,Africa,10.82,10.89,10.89,10.67,10.9,11.03,11.07,11.24,11.08,11.03
Mozambique,Africa,8.54,8.53,8.52,8.55,8.6,8.59,8.46,8.5,8.57,8.55
Myanmar,Asia,23.88,22.32,24.27,25.43,22.69,22.68,25.27,22.22,22.4,23.48
Namibia,Africa,6.18,6.18,6.19,6.24,6.25,6.26,6.29,6.31,6.32,6.32
Nauru,Oceania,3.03,3.01,3.02,2.88,2.79,2.91,2.82,2.61,2.7,2.89
Nepal,Asia,32.79,34.36,35.01,36.09,34.88,34.79,33.38,31.79,34.83,31.71
Netherlands,Europe,14.47,14.99,13.29,12.77,12.04,12.15,11.23,11.27,11.14,10.39
New Zealand,Oceania,8.41,7.66,7.24,7.13,6.85,6.54,6.56,6.74,7.01,8.11
Nicaragua,America,14.04,14.88,14.14,15.37,14.57,14.87,13.99,12.94,12.38,10.98
Niger,Africa,21.17,21.25,21.39,21.15,21.38,22.07,22.05,22.14,21.94,21.92
Nigeria,Africa,36.08,36.42,36.78,36.29,36.76,37.86,37.89,38.08,37.92,37.64
Niue,Oceania,3.17,3.21,3.17,3.09,3.15,3.31,3.31,3.21,3.02,3.15
Norway,Europe,7.44,7.85,6.9,6.7,6.21,6.42,5.97,5.99,5.98,5.95
"occupied Palestinian territory, including east Jerusalem",Asia,21.04,20.74,21.07,21.25,21.34,21.56,21.47,21.26,21.59,21.73
Oman,Asia,22.49,22.6,23.0,22.68,21.99,22.53,22.4,22.66,22.91,22.13
Pakistan,Asia,45.68,45.47,46.0,48.06,45.55,45.37,43.88,42.55,46.53,41.1
Palau,Oceania,2.86,3.11,2.88,2.88,2.85,3.0,2.79,2.72,2.7,2.93
Panama,America,10.49,10.91,10.42,11.11,10.54,10.7,10.26,9.68,8.99,8.46
Papua New Guinea,Oceania,2.77,3.01,2.98,2.85,3.03,3.34,3.19,3.09,3.15,3.18
Paraguay,America,12.27,11.97,11.53,10.83,10.56,9.89,10.03,12.53,9.07,9.32
Peru,America,23.01,22.38,23.68,23.91,24.95,23.89,22.7,21.2,22.26,22.2
Philippines,Asia,20.0,18.16,19.89,20.57,18.51,18.55,20.43,18.61,17.94,19.16
Poland,Europe,25.68,26.38,23.96,22.93,23.0,22.09,20.81,21.36,21.99,18.4
Portugal,Europe,10.15,10.27,9.09,9.1,7.6,8.37,8.12,8.7,7.61,7.1
Qatar,Asia,49.21,48.84,48.87,47.49,45.2,50.28,47.49,48.58,48.36,45.74
Republic of Korea,Asia,28.8,28.39,25.33,27.58,27.93,26.6,26.35,24.96,22.95,23.39
Republic of Moldova,Europe,12.49,11.66,11.19,11.28,11.77,10.17,9.54,8.8,9.85,9.11
North Macedonia,Europe,32.32,34.13,31.23,28.89,28.58,27.68,26.47,27.3,28.14,23.56
Romania,Europe,17.42,17.97,16.25,15.35,15.42,14.83,14.13,14.58,14.8,12.55
Russian Federation,Europe,9.67,8.32,8.31,8.4,8.78,7.7,7.07,6.8,7.62,7.31
Rwanda,Africa,11.86,11.89,11.92,11.92,11.94,11.95,11.98,12.0,12.01,12.05
Saint Kitts and Nevis,America,5.55,5.49,6.04,5.99,6.18,6.44,6.47,6.97,6.54,6.19
Saint Lucia,America,5.84,5.86,6.39,6.08,6.3,6.92,6.8,7.34,6.81,6.51
Saint Vincent and the Grenadines,America,5.58,5.4,6.23,6.06,6.34,6.83,6.83,7.11,7.11,6.18
Samoa,Oceania,2.84,2.89,2.99,2.98,2.76,2.93,2.87,2.78,2.81,2.67
San Marino,Europe,10.83,11.2,10.12,9.78,9.2,9.52,8.59,8.78,8.98,8.21
