IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Male,MLE,Cause,Total,ENVCAUSE000,,,,,,,83096,,,64843,,101852,83 096 [64 843 – 101 852],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Female,FMLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,83.13,,,50.39,,110.2,83.13 [50.39 – 110.2],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,83.21,,,17.02,,176.4,83.21 [17.02 – 176.4],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Sex,Male,MLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,83.43,,,19.52,,183.3,83.43 [19.52 – 183.3],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,83.59,,,49.44,,111.4,83.59 [49.44 – 111.4],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,PAN,Panama,Year,2019,true,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,83.66,,,28.22,,151.9,83.66 [28.22 – 151.9],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Male,MLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,83.96,,,26.38,,165.9,83.96 [26.38 – 165.9],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,830.4,,,438.7,,1185,830.4 [438.7 – 1185],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,ZMB,Zambia,Year,2019,true,Sex,Both sexes,BTSX,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,835.1,,,417.9,,1182,835.1 [417.9 – 1182],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,MLI,Mali,Year,2019,true,Sex,Female,FMLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,835.8,,,519.2,,1129,835.8 [519.2 – 1129],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,true,Sex,Female,FMLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,836.3,,,517.7,,1108,836.3 [517.7 – 1108],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Sex,Both sexes,BTSX,Cause,Stroke,ENVCAUSE114,,,,,,,836.8,,,339.4,,1473,836.8 [339.4 – 1473],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2019,true,Sex,Female,FMLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,8363,,,5696,,10781,8363 [5696 – 10 781],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,TGO,Togo,Year,2019,true,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,839.5,,,478.1,,1183,839.5 [478.1 – 1183],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,84.08,,,26.6,,167.5,84.08 [26.6 – 167.5],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,true,Sex,Male,MLE,Cause,Stroke,ENVCAUSE114,,,,,,,84.59,,,37.94,,137.2,84.59 [37.94 – 137.2],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,84.64,,,44.82,,137.2,84.64 [44.82 – 137.2],,,EN,2022-08-25T22:00:00.000Z
